PRIORITY,ENABLED,SRC TYPE,SRC GRP,INCLUSION(SRC GRP),SRC,SRC ADDR,UID,TYPE,USER NAME,DEPARTMEMT,AUTH SVR,DST TYPE,DST GRP,INCLUSION(DST GRP),DST,DST ADDR,FQDN,Count,Sub Domain,Auto Collection,SVC GRP,INCLUSION(SVC GRP),SVC,SVC SPEC,SCHEDULE,SCHEDULE SPEC,ACTION,LOGGING,LOG ID,DALIY HIT COUNT,WEEKLY HIT COUNT,MONTHLY HIT COUNT,2MONTHLY HIT COUNT,QUARTERLY HIT COUNT,PROXY ENABLED,PROXY TYPE,PROXY USER,TRANSPARENT PROXY ENABLED,QoS,QoS SPEC,SESSION LIMIT ACTION,SESSION LIMIT,DESC,REVERSIBLE,LOGGID,IPS USE,IPS PROFILE,APPCTL USE,APPCTL PROFILE,WEBFILTER USE,WEBFILTER PROFILE,ANTI-MALSITE USE,ANTI-MALSITE PROFILE,CNC USE,CNC PROFILE,FILE COLLECT USE,ANTI-VIRUS USE,ANTI-VIRUS PROFILE,MOD TIME,DLP USE,DLP PROFILE,UNUSED USE,UNUSED DAY,STREAM USE,SPAMFILTER USE,SPAMFILTER PROFILE,TIMEOUT USE,TIMEOUT,POLICY ID
0,Yes,ADDR,,,192.168.0.27_±è»óÈÆPC,192.168.0.27/32,,,,,,ADDR,,,222.105.216.91_ÈÞ¸Õ_NAS,222.105.216.91/32,,,,,,,all,all,always,1 00:00-24:00 0 0 0 0 0 0 ,Allow,Yes,210715154913,0,0,0,0,0,No,,,No,,,0,1500,,No,,No,default,No,default,No,default,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,66
,,,,,,,,,,,,ADDR,,,TEST1,192.168.50.50-192.168.50.60/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Yes,ADDR,,,DDERP_192.168.0.150,192.168.0.150/32,,,,,,ADDR,,,all,0.0.0.0/0,,,,,,,all,all,always,1 00:00-24:00 0 0 0 0 0 0 ,Allow,Yes,200810132611,52,6782,35132,75513,117463,No,,,No,,,0,1500,,No,,No,default,No,default,No,default,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,62
2,Yes,AGRP,Deny_IP,>,199.191.56.221,199.191.56.221/32,,,,,,ADDR,,,DDNAS_EX_61.40.8.26,61.40.8.26/32,,,,,,,all,all,always,1 00:00-24:00 0 0 0 0 0 0 ,Deny,Yes,190315132749,0,0,0,0,0,No,,,No,,,0,1500,,No,,No,default,No,default,No,default,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,52
,,,,>,34.78.211.173,34.78.211.173/32,,,,,,AGRP,³»ºÎ¸Á,>,192.168.0.0/24,192.168.0.0/24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,>,94.99.216.4,94.99.216.4/32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Yes,AGRP,³»ºÎ¸Á,>,192.168.0.0/24,192.168.0.0/24,,,,,,ADDR,,,all,0.0.0.0/0,,,,,reject_port,>,Sharing_TCP_file,tcp 1-65535 137-139,always,1 00:00-24:00 0 0 0 0 0 0 ,Deny,Yes,Victim_log1,0,33255,187305,383893,584063,No,,,No,,,0,1500,¼³¸í,No,,No,default,No,default,No,default,No,default,No,default,No,No,default,,No,,No,180,No,No,,No,300,4
,,,,,,,,,,,,,,,,,,,,,,>,Sharing_UDP_file,udp 1-65535 137-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,TCP_5938,tcp 1-65535 5938-5938,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Torrent_TCP_Port,tcp 1-65535 6881-6889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Torrent_UDP_Port,udp 1-65535 6881-6889,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_1,tcp 1-65535 111-111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_10,tcp 1-65535 3127-3127,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_12,tcp 1-65535 3410-3410,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_13,tcp 1-65535 4899-4899,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_14,tcp 1-65535 5000-5000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_15,tcp 1-65535 5554-5554,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_16,tcp 1-65535 5900-5900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_17,tcp 1-65535 6000-6000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_18,tcp 1-65535 6129-6129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_19,tcp 1-65535 6667-6667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_2,tcp 1-65535 135-135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_20,tcp 1-65535 9898-9898,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_21,tcp 1-65535 9996-9996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_22,tcp 1-65535 65520-65520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_3,tcp 1-65535 139-139,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,>,Virus_TCP_Port_4,tcp 1-65535 445-445,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
